012.wav,Neutral,,,Fair,Same speaker,
012.wav,,Sad,Noisy,,,Similar speaker
012.wav,Neutral,,Fair,,,Similar speaker
012.wav,Neutral,,Fair,,,Different speakers
012.wav,Angry,,Noisy,,,Same speaker
012.wav,Happy,,Good,,,Different speakers
013.wav,Angry,,Fair,,,Same speaker
013.wav,Neutral,,Good,,,Same speaker
013.wav,,Angry,Bad,,,Same speaker
013.wav,Neutral,,Good,,,Same speaker
013.wav,Angry,,Fair,,,Same speaker
013.wav,Neutral,,Fair,,,Same speaker
013.wav,Neutral,,Excellent,,,Same speaker
013.wav,Angry,,Fair,,,Same speaker
013.wav,Neutral,,Noisy,,,Hard to say
013.wav,,Angry,,Good,,Same speaker
014.wav,,Angry,,Excellent,,Same speaker
014.wav,Happy,,Fair,,,Hard to say
014.wav,Angry,,Fair,,,Similar speaker
014.wav,Angry,,Excellent,,,Similar speaker
014.wav,,Angry,Noisy,,,Different speakers
014.wav,Angry,,Good,,,Similar speaker
014.wav,Angry,,Fair,,,Same speaker
014.wav,Angry,,,Bad,Different speakers,
014.wav,Angry,,,Excellent,Same speaker,
014.wav,,Angry,Good,,,Hard to say
015.wav,Angry,,Noisy,,,Same speaker
015.wav,Neutral,,Good,,,Similar speaker
015.wav,Angry,,,Excellent,Same speaker,
015.wav,Angry,,Fair,,,Similar speaker
015.wav,Angry,,Excellent,,,Same speaker
015.wav,Angry,,Fair,,,Hard to say
015.wav,Happy,,Noisy,,,Similar speaker
015.wav,,Angry,,Noisy,,Same speaker
015.wav,Angry,,Good,,,Hard to say
015.wav,Happy,,Good,,,Similar speaker
016.wav,,Angry,,Noisy,,Same speaker
016.wav,,Angry,Bad,,,Same speaker
016.wav,Neutral,,Good,,,Same speaker
016.wav,Angry,,,Good,Similar speaker,
016.wav,Angry,,,Fair,Same speaker,
016.wav,Angry,,,Fair,Same speaker,
016.wav,Sad,,Bad,,,Similar speaker
016.wav,Happy,,Good,,,Similar speaker
016.wav,Sad,,Bad,,,Same speaker
016.wav,,Angry,,Excellent,,Same speaker
017.wav,Neutral,,,Good,Same speaker,
017.wav,Angry,,Good,,,Same speaker
017.wav,Neutral,,Noisy,,,Similar speaker
017.wav,,Angry,,Good,,Same speaker
017.wav,Angry,,Noisy,,,Hard to say
017.wav,Angry,,Excellent,,,Same speaker
017.wav,Angry,,Good,,,Same speaker
017.wav,Angry,,Good,,,Hard to say
017.wav,Happy,,Fair,,,Different speakers
017.wav,Angry,,Good,,,Same speaker
018.wav,Angry,,Fair,,,Different speakers
018.wav,Angry,,,Excellent,Same speaker,
018.wav,Angry,,Noisy,,,Same speaker
018.wav,Angry,,Noisy,,,Hard to say
018.wav,,Angry,,Noisy,,Same speaker
018.wav,Neutral,,Fair,,,Similar speaker
018.wav,,Angry,Good,,,Same speaker
